url,item_name,sku,stock_status,price
https://001.com.ua/modulnyy-avtomaticheskiy-vyklyuchatel-e-mcb-stand-60-3-c16-3r-16a-c-6ka-e-next,"Модульный автоматический выключатель e.mcb.stand.60.3.C16 3р 16А C 6кА, E.NEXT",s002131,instock,"206,67"
https://001.com.ua/modulnyy-avtomaticheskiy-vyklyuchatel-e-mcb-stand-60-3-c10-3r-10a-c-6ka-e-next,"Модульный автоматический выключатель e.mcb.stand.60.3.C10 3р 10А C 6кА, E.NEXT",s002130,instock,"206,67"
https://001.com.ua/modulnyy-avtomaticheskiy-vyklyuchatel-e-mcb-stand-60-3-c6-3r-6a-c-6ka-e-next,"Модульный автоматический выключатель e.mcb.stand.60.3.C6 3р 6А C 6кА, E.NEXT",s002129,outofstock,"206,67"
https://001.com.ua/modulnyy-avtomaticheskiy-vyklyuchatel-e-mcb-stand-60-3-c5-3r-5a-c-6ka-e-next,"Модульный автоматический выключатель e.mcb.stand.60.3.C5 3р 5А C 6кА, E.NEXT",s002128,instock,"265,50"
https://001.com.ua/modulnyy-avtomaticheskiy-vyklyuchatel-e-mcb-stand-60-3-c4-3r-4a-c-6ka-e-next,"Модульный автоматический выключатель e.mcb.stand.60.3.C4 3р 4А C 6кА, E.NEXT",s002127,instock,"265,50"
https://001.com.ua/modulnyy-avtomaticheskiy-vyklyuchatel-e-mcb-stand-60-3-c3-3r-3a-c-6ka-e-next,"Модульный автоматический выключатель e.mcb.stand.60.3.C3 3р 3А C 6кА, E.NEXT",s002126,instock,"265,50"
https://001.com.ua/modulnyy-avtomaticheskiy-vyklyuchatel-e-mcb-stand-60-3-c2-3r-2a-c-6ka-e-next,"Модульный автоматический выключатель e.mcb.stand.60.3.C2 3р 2А C 6кА, E.NEXT",s002125,instock,"265,50"
https://001.com.ua/modulnyy-avtomaticheskiy-vyklyuchatel-e-mcb-stand-60-3-c1-3r-1a-c-6ka-e-next,"Модульный автоматический выключатель e.mcb.stand.60.3.C1 3р 1А C 6кА, E.NEXT",s002124,instock,"265,50"
https://001.com.ua/modulnyy-avtomaticheskiy-vyklyuchatel-e-mcb-stand-60-2-c63-2r-63a-c-6ka-e-next,"Модульный автоматический выключатель e.mcb.stand.60.2.C63 2р 63А C 6кА, E.NEXT",s002123,instock,177
https://001.com.ua/modulnyy-avtomaticheskiy-vyklyuchatel-e-mcb-stand-60-2-c50-2r-50a-c-6ka-e-next,"Модульный автоматический выключатель e.mcb.stand.60.2.C50 2р 50А C 6кА, E.NEXT",s002122,instock,177
https://001.com.ua/modulnyy-avtomaticheskiy-vyklyuchatel-e-mcb-stand-60-2-c40-2r-40a-c-6ka-e-next,"Модульный автоматический выключатель e.mcb.stand.60.2.C40 2р 40А C 6кА, E.NEXT",s002121,instock,"155,57"
https://001.com.ua/modulnyy-avtomaticheskiy-vyklyuchatel-e-mcb-stand-60-2-c32-2r-32a-c-6ka-e-next,"Модульный автоматический выключатель e.mcb.stand.60.2.C32 2р 32А C 6кА, E.NEXT",s002120,instock,"147,84"
https://001.com.ua/modulnyy-avtomaticheskiy-vyklyuchatel-e-mcb-stand-60-2-c25-2r-25a-c-6ka-e-next,"Модульный автоматический выключатель e.mcb.stand.60.2.C25 2р 25А C 6кА, E.NEXT",s002119,instock,"144,69"
https://001.com.ua/modulnyy-avtomaticheskiy-vyklyuchatel-e-mcb-stand-60-2-c20-2r-20a-c-6ka-e-next,"Модульный автоматический выключатель e.mcb.stand.60.2.C20 2р 20А C 6кА, E.NEXT",s002118,instock,"137,79"
https://001.com.ua/modulnyy-avtomaticheskiy-vyklyuchatel-e-mcb-stand-60-2-c16-2r-16a-c-6ka-e-next,"Модульный автоматический выключатель e.mcb.stand.60.2.C16 2р 16А C 6кА, E.NEXT",s002117,instock,"137,79"
https://001.com.ua/modulnyy-avtomaticheskiy-vyklyuchatel-e-mcb-stand-60-2-c10-2r-10a-c-6ka-e-next,"Модульный автоматический выключатель e.mcb.stand.60.2.C10 2р 10А C 6кА, E.NEXT",s002116,instock,"137,79"
https://001.com.ua/modulnyy-avtomaticheskiy-vyklyuchatel-e-mcb-stand-60-2-c6-2r-6a-c-6ka-e-next,"Модульный автоматический выключатель e.mcb.stand.60.2.C6 2р 6А C 6кА, E.NEXT",s002115,instock,"137,79"
